Groups:
input_signal[15..0] =, test_signal[15], test_signal[14], test_signal[13], test_signal[12], test_signal[11], test_signal[10], test_signal[9], test_signal[8], test_signal[7], test_signal[6], test_signal[5], test_signal[4], test_signal[3], test_signal[2], test_signal[1], test_signal[0],  signed decimal
output_signal[15..0] =, fir_symmetric_pipelined:u_fir|data_out[15], fir_symmetric_pipelined:u_fir|data_out[14], fir_symmetric_pipelined:u_fir|data_out[13], fir_symmetric_pipelined:u_fir|data_out[12], fir_symmetric_pipelined:u_fir|data_out[11], fir_symmetric_pipelined:u_fir|data_out[10], fir_symmetric_pipelined:u_fir|data_out[9], fir_symmetric_pipelined:u_fir|data_out[8], fir_symmetric_pipelined:u_fir|data_out[7], fir_symmetric_pipelined:u_fir|data_out[6], fir_symmetric_pipelined:u_fir|data_out[5], fir_symmetric_pipelined:u_fir|data_out[4], fir_symmetric_pipelined:u_fir|data_out[3], fir_symmetric_pipelined:u_fir|data_out[2], fir_symmetric_pipelined:u_fir|data_out[1], fir_symmetric_pipelined:u_fir|data_out[0],  signed decimal

Data:
time unit: ns, input_signal[15..0], test_signal[15], test_signal[14], test_signal[13], test_signal[12], test_signal[11], test_signal[10], test_signal[9], test_signal[8], test_signal[7], test_signal[6], test_signal[5], test_signal[4], test_signal[3], test_signal[2], test_signal[1], test_signal[0], fir_symmetric_pipelined:u_fir|data_valid, output_signal[15..0], fir_symmetric_pipelined:u_fir|data_out[15], fir_symmetric_pipelined:u_fir|data_out[14], fir_symmetric_pipelined:u_fir|data_out[13], fir_symmetric_pipelined:u_fir|data_out[12], fir_symmetric_pipelined:u_fir|data_out[11], fir_symmetric_pipelined:u_fir|data_out[10], fir_symmetric_pipelined:u_fir|data_out[9], fir_symmetric_pipelined:u_fir|data_out[8], fir_symmetric_pipelined:u_fir|data_out[7], fir_symmetric_pipelined:u_fir|data_out[6], fir_symmetric_pipelined:u_fir|data_out[5], fir_symmetric_pipelined:u_fir|data_out[4], fir_symmetric_pipelined:u_fir|data_out[3], fir_symmetric_pipelined:u_fir|data_out[2], fir_symmetric_pipelined:u_fir|data_out[1], fir_symmetric_pipelined:u_fir|data_out[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
20, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
40, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
60, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
80, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
100, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
120, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
140, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
160, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
180, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
200, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
220, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
240, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
260, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
